43.456, 16.443, 27.309, 1, 0, 1080.  0
43.556, 16.443, 27.309, 1, 0, 1080.  0
43.556, 16.463, 27.341, 1, 0, 1080.  0
43.576, 16.503, 27.405, 1, 0, 1080.  0
43.556, 16.443, 27.309, 1, 0, 1080.  0
43.536, 16.443, 27.309, 1, 0, 1080.  0
43.999, 16.443, 27.309, 1, 0, 1080.  0
43.536, 16.423, 27.276, 1, 0, 1080.  0
43.556, 16.443, 27.309, 1, 0, 1080.  0
43.536, 16.443, 27.309, 1, 0, 1080.  0
43.536, 16.443, 27.309, 1, 0, 1080.  0
43.516, 16.443, 27.309, 1, 0, 1080.  0
43. 93, 16.483, 27.373, 1, 0, 1080.  0
43.576, 16.463, 27.341, 1, 0, 1080.  0
43.536, 16.402, 27.244, 1, 0, 1080.  0
43.516, 16.463, 27.341, 1, 0, 1080.  0
43.556, 16.443, 27.309, 1, 0, 1080.  0
43.556, 16.402, 27.244, 1, 0, 1080.  0
43.536, 16.463, 27.341, 1, 0, 1080.  0
43.536, 16.483, 27.373, 1, 0, 1080.  0
43.597, 16.423, 27.276, 1, 0, 1080.  0
43.536, 16.463, 27.341, 1, 0, 1080.  0
43.536, 16.483, 27.373, 1, 0, 1080.  0
43.536, 16.443, 27.309, 1, 0, 1080.  0
43.576, 16.483, 27.373, 1, 0, 1080.  0
43.496, 16.765, 27.824, 1, 1, 1080.  0
51.716, 8. 21, 7.417, 1, 1, 280.  0
48.593, 11.305, 13.436, 1, 1, 519.999
46.377, 13.622, 18.709, 1, 1, 720.  0
52.602, 7.417, 6.192, 1, 1, 239.999
57.820, 2.703, 1.540, 1, 1, 39.999
57. 34, 3.589, 2. 76, 1, 1, 79.999
58.646, 1.454, 1.145, 1, 1, 39.999
56.752, 2.824, 1.564, 1, 1, 39.999
62.192, 0.520, 0.994, 1, 1, 0.  0
72.265, -13.26031, -16.32568, 0, 1, 639.999
77. 80, -15.30891, -23.46837, 0, 1, 920.  0
79.840, -18.36772, -33.66791, 0, 1, 1320.  0
79.417, -19.38941, -37.74888, 0, 1, 1480.  0
69.  1, -11.22459, -12.24605, 0, 1, 479.999
56.793, 3.227, 1.  3, 1, 1, 39.999
47.525, 11.487, 13.179, 1, 1, 519.999
40.796, 18.478, 34.260, 1, 1, 1360.  0
36.948, 20.593, 42.186, 1, 1, 1679.999
39.688, 20.794, 42.589, 1, 1, 1679.999
49.318, 11.406, 13.547, 1, 1, 519.999
60.197, 0.668, 1.  0, 1, 1, 39.999
72.265, -10.20089, -9.18543, 0, 1, 360.  0
77.483, -15.30529, -23.46293, 0, 1, 920.  0
82.379, -22.44318, -49.98101, 0, 1, 1960.  0
78.793, -20.40001, -40.80003, 0, 1, 1600.  0
69.767, -10.20694, -10.20694, 0, 1, 400.  0
57.598, 0.225, 0.  2, 1, 1, 0.  0
47.304, 10.641, 11.206, 1, 1, 439.999
40.655, 15.415, 24.123, 1, 1, 959.999
37.432, 22.366, 50.205, 1, 1, 2000.  0
38. 36, 22.366, 50.205, 1, 1, 2000.  0
45.228, 15.576, 24.365, 1, 1, 959.999
54.194, 6.249, 4.749, 1, 1, 159.999
66.181, -5.10153, -1.2703, 0, 1, 39.999
72.970, -13.26695, -17.34528, 0, 1, 680.  0
81.734, -19.38034, -36.72166, 0, 1, 1440.  0
82. 16, -22.44137, -48.96702, 0, 1, 1919.999
75.247, -16.32979, -27.54167, 0, 1, 1080.  0
64.347, -5.10274, -2.4637, 0, 1, 79.999
53.650, 4.798, 2. 41, 1, 1, 79.999
44.664, 15.576, 24.365, 1, 1, 959.999
37.150, 20.855, 42.710, 1, 1, 1679.999
37.895, 22.326, 50.117, 1, 1, 2000.  0
43.375, 17.309, 30.426, 1, 1, 1200.  0
52.844, 9. 89, 9.180, 1, 1, 360.  0
63. 58, -1.2265, 0.859, 1, 1, 0.  0
74.542, -14.28098, -19.38449, 0, 1, 759.999
79.316, -18.36228, -32.64812, 0, 1, 1279.999
82.298, -22.44419, -49.98322, 0, 1, 1960.  0
77.362, -18.36067, -32.64521, 0, 1, 1279.999
67.329, -8.16598, -6.12879, 0, 1, 239.999
55.604, 3.327, 1. 57, 1, 1, 39.999
44.946, 11.789, 13.676, 1, 1, 519.999
33.443, 22.728, 51.  3, 1, 1, 2039.999
36.384, 23.716, 55.547, 1, 1, 2200.  0
41.441, 19.868, 38.749, 1, 1, 1519.999
49.499, 11.305, 13.436, 1, 1, 519.999
61.708, 0.184, 1.  0, 1, 1, 39.999
69.847, -10.20190, -9.18601, 0, 1, 360.  0
80. 21, -18.36027, -32.64449, 0, 1, 1279.999
82.217, -21.42754, -45.90684, 0, 1, 1799.999
79.135, -19.38760, -37.74544, 0, 1, 1480.  0
71.439, -12.24245, -14.28694, 0, 1, 560.  0
60.902, -1.2910, 0.191, 0, 1, 0.  0
50.346, 7.961, 5.840, 1, 1, 200.  0
43.597, 18.397, 34.115, 1, 1, 1360.  0
36.183, 24.864, 60.674, 1, 1, 2400.  0
37.754, 22.648, 50.826, 1, 1, 2000.  0
43.133, 18.175, 33.716, 1, 1, 1320.  0
52.521, 8.384, 7.707, 1, 1, 280.  0
63. 18, -1.2164, 0.865, 1, 1, 0.  0
76.355, -13.26272, -17.34112, 0, 1, 680.  0
77.463, -22.44439, -49.98367, 0, 1, 1960.  0
81.915, -22.44076, -48.96569, 0, 1, 1919.999
74.521, -15.30287, -22.44931, 0, 1, 879.999
63.743, -5.10858, -2.4929, 0, 1, 79.999
51.978, 4.879, 2. 95, 1, 1, 79.999
42.811, 14.206, 20.823, 1, 1, 800.  0
37.170, 18.236, 33.825, 1, 1, 1320.  0
37.  9, 22.910, 51.402, 1, 1, 2039.999
40.353, 20.170, 41.340, 1, 1, 1639.999
48.412, 12.272, 15.727, 1, 1, 600.  0
56.208, 4.738, 2.895, 1, 1, 79.999
68.417, -8.16739, -6.12276, 0, 1, 239.999
77.181, -15.30448, -23.46173, 0, 1, 920.  0
82.298, -21.42492, -45.90134, 0, 1, 1799.999
78.974, -19.38921, -37.74850, 0, 1, 1480.  0
67.410, -8.16457, -6.12766, 0, 1, 239.999
56.913, 1.293, 0.142, 1, 1, 0.  0
49.177, 10.540, 11. 35, 1, 1, 439.999
38.721, 18.699, 34.659, 1, 1, 1360.  0
37.492, 22.467, 50.427, 1, 1, 2000.  0
40.716, 19.868, 38.749, 1, 1, 1519.999
50.386, 10.923, 11.923, 1, 1, 439.999
60. 76, 0.749, 1.  0, 1, 1, 39.999
73.675, -11.22399, -12.24048, 0, 1, 479.999
77.765, -16.32073, -25.50717, 0, 1, 1000.  0
81.976, -18.36732, -33.66718, 0, 1, 1320.  0
81.331, -21.42774, -45.90726, 0, 1, 1799.999
71.983, -13.26716, -17.34830, 0, 1, 680.  0
62.494, -3.6521, -1.2056, 0, 1, 39.999
49.862, 8.606, 7.184, 1, 1, 280.  0
45.450, 16. 20, 26.632, 1, 1, 1039.999
33.523, 19. 21, 37.141, 1, 1, 1480.  0
37.653, 22.668, 50.870, 1, 1, 2000.  0
42.408, 18. 34, 33.462, 1, 1, 1320.  0
58.384, 0.970, 0. 16, 1, 1, 0.  0
55.826, 4.194, 2.677, 1, 1, 79.999
59.371, 0.426, 0.  9, 1, 1, 0.  0
56.309, 3.750, 2.125, 1, 1, 79.999
60. 16, 0. 16, 0.998, 1, 1, 0.  0
56.571, 3.388, 2. 16, 1, 1, 79.999
58.384, 2.280, 1.456, 1, 1, 39.999
56.772, 3.227, 1.968, 1, 1, 39.999
59.291, 0.728, 1.  0, 1, 1, 39.999
58. 62, 1.957, 1.195, 1, 1, 39.999
58.364, 1.655, 1.165, 1, 1, 39.999
57.901, 2. 38, 1.407, 1, 1, 39.999
58.525, 1.514, 1.151, 1, 1, 39.999
57.659, 2.320, 1.464, 1, 1, 39.999
57.679, 2.340, 1.468, 1, 1, 39.999
57.216, 
