
 System Startup!

 Motor Initialized! 

 Load Cell Configured! 

 Controller Initialized! 
63. 78, -13.26078, -17.34002, 0, 1, 680.  0
64.489, -14.28489, -20.40284, 0, 1, 800.  0
64.  5, -14.28005, -19.38607, 0, 1, 759.999
61.789, -11.22789, -12.24968, 0, 1, 479.999
55.141, -5.10141, -2.4570, 0, 1, 79.999
54.758, -4.8758, -1.2903, 0, 1, 39.999
51.897, -1.2897, 0.189, 0, 1, 0.  0
49.459, 0.540, 0.  5, 1, 1, 0.  0
48. 89, 1.910, 0.215, 1, 1, 0.  0
47.404, 2.595, 0.569, 1, 1, 0.  0
47.565, 2.434, 0.561, 1, 1, 0.  0
49.137, 1.970, 0.291, 1, 1, 0.  0
49. 16, 0.983, 0.114, 1, 1, 0.  0
52.723, 0.728, 0. 99, 1, 1, 0.  0
53.428, -3.6428, 0.963, 0, 1, 0.  0
57.739, -5.10725, -2.4854, 0, 1, 79.999
59.412, -7.14880, -5.10516, 0, 1, 200.  0
59.855, -9.18855, -8.16869, 0, 1, 319.999
60.137, -10.20137, -10.20137, 0, 1, 400.  0
58.948, -8.16948, -7.14158, 0, 1, 280.  0
56.652, -6.12652, -3.6991, 0, 1, 119.999
53.650, -3.6650, -1.2095, 0, 1, 39.999
50.749, 0.749, 0.  0, 1, 1, 0.  0
48.391, 1.608, 0.176, 1, 1, 0.  0
47. 82, 2.917, 0.628, 1, 1, 0.  0
46.256, 3.743, 1.205, 1, 1, 39.999
46.175, 3.824, 1.268, 1, 1, 39.999
47.283, 2.695, 0.687, 1, 1, 0.  0
48.  9, 1.990, 0.386, 1, 1, 0.  0
51.373, 0.379, 0.195, 1, 1, 0.  0
51.534, -1.2534, 0. 26, 1, 1, 0.  0
55.382, -3.6327, 0.851, 0, 1, 0.  0
57.558, -7.14558, -5.10278, 0, 1, 200.  0
57.296, -7.14296, -5.10107, 0, 1, 200.  0
58.868, -8.16868, -7.14094, 0, 1, 280.  0
56.531, -8.16102, -6.12482, 0, 1, 239.999
56.249, -6.12249, -3.6749, 0, 1, 119.999
53.347, -3.6347, -1.2004, 0, 1, 39.999
47.928, 2. 71, 0.435, 1, 1, 0.  0
47.727, 2.272, 0.498, 1, 1, 0.  0
46.357, 3.642, 1.172, 1, 1, 39.999
45. 67, 4.932, 2.102, 1, 1, 79.999
45.974, 4.710, 2. 60, 1, 1, 79.999
46.800, 4.307, 1.985, 1, 1, 39.999
47.485, 2.514, 0.790, 1, 1, 0.  0
49.862, 0.137, 0.288, 1, 1, 0.  0
52.360, -2.4360, 0.206, 0, 1, 0.  0
57.336, -5.10060, -2.4315, 0, 1, 79.999
59.573, -6.12732, -3.6959, 0, 1, 119.999
60.258, -9.18351, -8.16416, 0, 1, 319.999
60.479, -10.20479, -10.20479, 0, 1, 400.  0
55.564, -8.16626, -6.12901, 0, 1, 239.999
55.161, -5.10161, -2.4580, 0, 1, 79.999
51. 91, -1.2091, 0.109, 0, 1, 0.  0
47.465, 2.534, 0.532, 1, 1, 0.  0
45. 67, 4.932, 2. 47, 1, 1, 79.999
42.690, 7.309, 5.264, 1, 1, 200.  0
44.221, 7.591, 5.537, 1, 1, 200.  0
45.853, 7.269, 5.384, 1, 1, 200.  0
46.135, 3.864, 1.494, 1, 1, 39.999
48.734, 1.265, 0.474, 1, 1, 0.  0
56.712, -2.4864, 0.253, 0, 1, 0.  0
61. 64, -7.14397, -5.10007, 0, 1, 200.  0
63.300, -13.26300, -17.34252, 0, 1, 680.  0
63.965, -14.28146, -19.38805, 0, 1, 759.999
59.996, -13.26542, -17.34604, 0, 1, 680.  0
59.432, -9.18432, -8.16489, 0, 1, 319.999
53.690, -3.6690, -1.2107, 0, 1, 39.999
48.230, 1.769, 0.194, 1, 1, 0.  0
41.401, 5.919, 3. 36, 1, 1, 119.999
41.360, 8.639, 7. 74, 1, 1, 280.  0
40.333, 9.666, 8.959, 1, 1, 319.999
39.305, 10.694, 11. 61, 1, 1, 439.999
46.457, 6.483, 4.321, 1, 1, 159.999
48. 89, 1.910, 0.641, 1, 1, 0.  0
52.763, -2.4763, 0.129, 0, 1, 0.  0
65.113, -9.18472, -8.16196, 0, 1, 319.999
66. 40, -16.32040, -25.50496, 0, 1, 1000.  0
70.512, -20.40512, -41.82025, 0, 1, 1639.999
69.304, -19.38304, -36.72677, 0, 1, 1440.  0
63.119, -13.26119, -17.34054, 0, 1, 680.  0
53.871, -3.6871, -1.2161, 0, 1, 39.999
39.769, 4.670, 1.914, 1, 1, 39.999
39. 23, 10.976, 11.132, 1, 1, 439.999
34.652, 14.340, 20.376, 1, 1, 800.  0
32.375, 17.624, 30.437, 1, 1, 1200.  0
40.474, 13. 91, 17.626, 1, 1, 680.  0
46. 95, 3.904, 1.856, 1, 1, 39.999
64.327, -2.4360, 0.189, 1, 1, 0.  0
75.750, -15.30959, -23.46437, 0, 1, 920.  0
77.141, -27.54141, -73.146050, 0, 1, 2920.  0
80.384, -32.64238, -103.206161, 0, 1, 4000.  0
79.558, -29.58558, -85.170719, 0, 1, 3400.  0
66.926, -16.32926, -27.54082, 0, 1, 1080.  0
51.353, -1.2353, 0.135, 0, 1, 0.  0
38.338, 11.661, 12.943, 1, 1, 479.999
23.672, 20.  1, 40.320, 1, 1, 1600.  0
25.626, 24.373, 59. 57, 1, 1, 2359.999
24. 75, 25.924, 65.631, 1, 1, 2599.999
49.399, 14.139, 20.755, 1, 1, 800.  0
51. 51, -1.2051, 0.834, 1, 1, 0.  0
67. 87, -17.34087, -28.56280, 0, 1, 1120.  0
80.223, -30.60223, -90.180203, 0, 1, 3599.999
82.500, -32.64500, -103.206858, 0, 1, 4000.  0
75.448, -25.50448, -63.126621, 0, 1, 2519.999
73.695, -23.46695, -54.108500, 0, 1, 2160.  0
53.972, -3.6972, -1.2191, 0, 1, 39.999
37.492, 12.507, 15.133, 1, 1, 600.  0
25.283, 24.716, 59.938, 1, 1, 2359.999
20.126, 29.873, 87.633, 1, 1, 3480.  0
19.703, 30.296, 91.890, 1, 1, 3640.  0
29.756, 20.243, 41.487, 1, 1, 1639.999
63.481, 3.542, 2. 62, 1, 1, 79.999
79.558, -15.30415, -22.44431, 0, 1, 879.999
80.747, -30.60747, -91.182857, 0, 1, 3640.  0
82.500, -32.64500, -104.208000, 0, 1, 4000.  0
82.500, -32.64500, -104.208000, 0, 1, 4000.  0
