43.697, 11.282, 11.282, 1, 0
43.717, 11.282, 11.282, 1, 0
43.657, 11.342, 11.342, 1, 0
43.738, 11.261, 11.261, 1, 0
43.697, 11.302, 11.302, 1, 0
43.697, 11.302, 11.302, 1, 0
43.637, 11.322, 11.322, 1, 0
43.677, 11.322, 11.322, 1, 0
43.758, 11.241, 11.241, 1, 0
43.697, 11.322, 11.322, 1, 0
43.697, 11.302, 11.302, 1, 0
43.758, 11.261, 11.261, 1, 0
43.697, 11.302, 11.302, 1, 0
43.738, 11.282, 11.282, 1, 0
43.717, 11.282, 11.282, 1, 0
43.758, 11.221, 11.221, 1, 0
45.228, 9.771, 9.771, 1, 0
53.327, 1.672, 0.  0, 1, 1
48.815, 6.184, 6.184, 1, 0
46.699, 8.300, 8.300, 1, 0
51.192, 3.847, 0.  0, 1, 1
59.452, -4.8452, 0.  0, 1, 1
66.322, -10.20959, -10.20959, 0, 0
54.717, 0.282, 0.  0, 1, 1
61.648, -7.14957, -7.14957, 0, 0
65.113, -10.20113, -10.20113, 0, 0
69.505, -15.30190, -15.30190, 0, 0
47.586, 7.413, 7.413, 1, 0
56.611, -1.2611, 0.  0, 1, 1
71.318, -16.32419, -16.32419, 0, 0
71.963, -16.32963, -16.32963, 0, 0
59.170, -4.8271, 0.  0, 1, 1
65.254, -10.20254, -10.20254, 0, 0
62.897, -8.16622, -8.16622, 0, 0
52.340, 2.659, 0.  0, 1, 1
71.419, -15.30371, -15.30371, 0, 0
76.617, -21.42617, -21.42617, 0, 0
56.168, -1.2591, 0.  0, 1, 1
47.888, 7.111, 7.111, 1, 0
57.175, -2.4175, 0.  0, 1, 1
70.935, -15.30593, -15.30593, 0, 0
61.869, -6.12869, -6.12869, 0, 0
64.952, -9.18871, -9.18871, 0, 0
69.989, -14.28989, -14.28989, 0, 0
62. 71, -7.14957, -7.14957, 0, 0
69.948, -14.28948, -14.28948, 0, 0
68.296, -13.26699, -13.26699, 0, 0
47.968, 7. 31, 7. 31, 1, 0
48.391, 6.608, 6.608, 1, 0
58.263, -3.6263, 0.  0, 1, 1
59.109, -4.8109, 0.  0, 1, 1
60.217, -4.8492, 0.  0, 1, 1
79. 14, -24.48014, -24.48014, 0, 0
67.692, -12.24490, -12.24490, 0, 0
63. 78, -8.16078, -8.16078, 0, 0
59.291, -4.8109, 0.  0, 1, 1
64.750, -9.18750, -9.18750, 0, 0
74. 78, -21.42053, -21.42053, 0, 0
71.641, -16.32641, -16.32641, 0, 0
49.540, 5.459, 5.459, 1, 0
60.298, -4.8593, 0.  0, 1, 1
60.963, -5.10963, -5.10963, 0, 0
75.952, -23.46772, -23.46772, 0, 0
65.516, -10.20516, -10.20516, 0, 0
47.142, 7.736, 7.736, 1, 0
56.551, -1.2551, 0.  0, 1, 1
52.723, 2.679, 0.  0, 1, 1
75.408, -20.40408, -20.40408, 0, 0
64.347, -9.18065, -9.18065, 0, 0
70.673, -15.30673, -15.30673, 0, 0
72.769, -17.34769, -17.34769, 0, 0
49.641, 6.487, 6.487, 1, 0
63.864, -8.16864, -8.16864, 0, 0
56. 27, 0.705, 0.  0, 1, 1
74.663, -19.38663, -19.38663, 0, 0
62. 31, -7.14917, -7.14917, 0, 0
56.591, -1.2591, 0.  0, 1, 1
46.921, 7.695, 7.695, 1, 0
58.827, -3.6827, 0.  0, 1, 1
52.219, 2.780, 0.  0, 1, 1
69.626, -13.26619, -13.26619, 0, 0
56.108, -1.2108, 0.  0, 1, 1
69.888, -15.30150, -15.30150, 0, 0
62.152, -7.14152, -7.14152, 0, 0
75.791, -22.44664, -22.44664, 0, 0
61.406, -6.12406, -6.12406, 0, 0
46.175, 8.602, 8.602, 1, 0
52.904, 2. 95, 0.  0, 1, 1
62. 10, -7.14192, -7.14192, 0, 0
49.802, 5.197, 5.197, 1, 0
59. 29, -4.8029, 0.  0, 1, 1
45.833, 9.267, 9.267, 1, 0
60. 36, -5.10036, -5.10036, 0, 0
48.150, 6.245, 6.245, 1, 0
69.324, -14.28324, -14.28324, 0, 0
60.580, -4.8774, 0.  0, 1, 1
63.380, -8.16380, -8.16380, 0, 0
77.644, -23.46208, -23.46208, 0, 0
68.941, -13.26941, -13.26941, 0, 0
59.935, -5.10701, -5.10701, 0, 0
59. 49, -4.8049, 0.  0, 1, 1
48.553, 6.446, 6.446, 1, 0
62.514, -7.14615, -7.14615, 0, 0
60.741, -5.10741, -5.10741, 0, 0
51.615, 3.727, 0.  0, 1, 1
68.901, -13.26901, -13.26901, 0, 0
60.560, -5.10661, -5.10661, 0, 0
63.119, -8.16119, -8.16119, 0, 0
55.664, 0.725, 0.  0, 1, 1
61.265, -6.12265, -6.12265, 0, 0
56.531, -1.2531, 0.  0, 1, 1
58.787, -3.6787, 0.  0, 1, 1
56.853, -1.2853, 0.  0, 1, 1
59.835, -4.8794, 0.  0, 1, 1
57.619, -2.4619, 0.  0, 1, 1
58.928, -3.6968, 0.  0, 1, 1
57.880, -2.4880, 0.  0, 1, 1
58.545, -3.6505, 0.  0, 1, 1
57.397, -2.4397, 0.  0, 1, 1
57. 34, -2.4034, 0.  0, 1, 1
58. 62, -3.6062, 0.  0, 1, 1
57.578, -2.4578, 0.  0, 1, 1
56.873, -1.2893, 0.  0, 1, 1
57. 95, -2.4095, 0.  0, 1, 1
57.679, -2.4679, 0.  0, 1, 1
56.954, -1.2954, 0.  0, 1, 1
57. 54, -1.2934, 0.  0, 1, 1
56.531, -1.2531, 0.  0, 1, 1
56.893, -1.2954, 0.  0, 1, 1
57.498, -2.4498, 0.  0, 1, 1
56.833, -1.2833, 0.  0, 1, 1
