Sample:float,Data:float
"0.0","0.0"
"1.0","0.0"
"2.0","1986.0"
"3.0","1992.0"
"4.0","2034.0"
"5.0","2071.0"
"6.0","1988.0"
"7.0","2053.0"
"8.0","2026.0"
"9.0","1985.0"
"10.0","2024.0"
"11.0","1989.0"
"12.0","2020.0"
"13.0","1988.0"
"14.0","1985.0"
"15.0","2051.0"
"16.0","1992.0"
"17.0","1984.0"
"18.0","2078.0"
"19.0","1988.0"
"20.0","2067.0"
"21.0","1996.0"
"22.0","1992.0"
"23.0","2000.0"
"24.0","1984.0"
"25.0","2057.0"
"26.0","2073.0"
"27.0","2017.0"
"28.0","2063.0"
"29.0","2058.0"
"30.0","2009.0"
"31.0","2068.0"
"32.0","2071.0"
"33.0","1987.0"
"34.0","2042.0"
"35.0","2075.0"
"36.0","2049.0"
"37.0","2031.0"
"38.0","2015.0"
"39.0","2001.0"
"40.0","1995.0"
"41.0","1988.0"
"42.0","2043.0"
"43.0","2073.0"
"44.0","2032.0"
"45.0","2044.0"
"46.0","1988.0"
"47.0","2071.0"
"48.0","2020.0"
"49.0","1991.0"
"50.0","2030.0"
"51.0","2009.0"
"52.0","2044.0"
"53.0","1994.0"
"54.0","2002.0"
"55.0","2071.0"
"56.0","1988.0"
"57.0","2056.0"
"58.0","2071.0"
"59.0","1997.0"
"60.0","2014.0"
"61.0","1989.0"
"62.0","2071.0"
"63.0","2002.0"
"64.0","2075.0"
"65.0","2038.0"
"66.0","2063.0"
"67.0","2002.0"
"68.0","2059.0"
"69.0","1996.0"
"70.0","1994.0"
"71.0","2006.0"
"72.0","2079.0"
"73.0","2066.0"
"74.0","1994.0"
"75.0","1996.0"
"76.0","1995.0"
"77.0","2030.0"
"78.0","2073.0"
"79.0","2020.0"
"80.0","1992.0"
"81.0","2075.0"
"82.0","2075.0"
"83.0","2040.0"
"84.0","2053.0"
"85.0","2017.0"
"86.0","1994.0"
"87.0","1992.0"
"88.0","2003.0"
"89.0","2020.0"
"90.0","2058.0"
"91.0","2000.0"
"92.0","2019.0"
"93.0","2060.0"
"94.0","2075.0"
"95.0","2012.0"
"96.0","2069.0"
"97.0","2018.0"
"98.0","1996.0"
"99.0","2068.0"
"100.0","2025.0"
"101.0","2119.0"
"102.0","2109.0"
"103.0","2058.0"
"104.0","2093.0"
"105.0","2058.0"
"106.0","2107.0"
"107.0","2107.0"
"108.0","2037.0"
"109.0","2077.0"
"110.0","2070.0"
"111.0","2042.0"
"112.0","2074.0"
"113.0","2081.0"
"114.0","2044.0"
"115.0","2078.0"
"116.0","2076.0"
"117.0","2069.0"
"118.0","2033.0"
"119.0","2101.0"
"120.0","2040.0"
"121.0","2068.0"
"122.0","2100.0"
"123.0","2066.0"
"124.0","2102.0"
"125.0","2018.0"
"126.0","2059.0"
"127.0","2088.0"
"128.0","2014.0"
"129.0","2020.0"
"130.0","2012.0"
"131.0","2044.0"
"132.0","2012.0"
"133.0","2044.0"
"134.0","2060.0"
"135.0","2103.0"
"136.0","2061.0"
"137.0","2063.0"
"138.0","2037.0"
"139.0","2019.0"
"140.0","2075.0"
"141.0","2101.0"
"142.0","2019.0"
"143.0","2107.0"
"144.0","2079.0"
"145.0","2032.0"
"146.0","2042.0"
"147.0","2020.0"
"148.0","2034.0"
"149.0","2024.0"
"150.0","2018.0"
"151.0","2037.0"
"152.0","2028.0"
"153.0","2040.0"
"154.0","2016.0"
"155.0","2024.0"
"156.0","2034.0"
"157.0","2020.0"
"158.0","2065.0"
"159.0","2008.0"
"160.0","2085.0"
"161.0","2090.0"
"162.0","2028.0"
"163.0","2049.0"
"164.0","2043.0"
"165.0","2085.0"
"166.0","2086.0"
"167.0","2009.0"
"168.0","2095.0"
"169.0","2099.0"
"170.0","2032.0"
"171.0","2008.0"
"172.0","2095.0"
"173.0","2012.0"
"174.0","2023.0"
"175.0","1999.0"
"176.0","2054.0"
"177.0","1979.0"
"178.0","2012.0"
"179.0","1988.0"
"180.0","2025.0"
"181.0","1968.0"
"182.0","2034.0"
"183.0","2039.0"
"184.0","2043.0"
"185.0","2053.0"
"186.0","2000.0"
"187.0","1981.0"
"188.0","1978.0"
"189.0","1984.0"
"190.0","1986.0"
"191.0","2028.0"
"192.0","2053.0"
"193.0","2034.0"
"194.0","2043.0"
"195.0","2020.0"
