Sample:float,Data:float
"13.0","2008.0"
"14.0","2016.0"
"15.0","2059.0"
"16.0","2095.0"
"17.0","2016.0"
"18.0","2000.0"
"19.0","2008.0"
"20.0","1994.0"
"21.0","2095.0"
"22.0","2028.0"
"23.0","2031.0"
"24.0","2059.0"
"25.0","2040.0"
"26.0","2087.0"
"27.0","2047.0"
"28.0","2067.0"
"29.0","2047.0"
"30.0","2000.0"
"31.0","2000.0"
"32.0","2000.0"
"33.0","2021.0"
"34.0","1992.0"
"35.0","2009.0"
"36.0","1992.0"
"37.0","2021.0"
"38.0","2071.0"
"39.0","1992.0"
"40.0","2039.0"
"41.0","2059.0"
"42.0","2000.0"
"43.0","2063.0"
"44.0","2023.0"
"45.0","2019.0"
"46.0","2000.0"
"47.0","2043.0"
"48.0","2000.0"
"49.0","2047.0"
"50.0","2001.0"
"51.0","1996.0"
"52.0","2079.0"
"53.0","2033.0"
"54.0","2016.0"
"55.0","2000.0"
"56.0","1996.0"
"57.0","1994.0"
"58.0","2000.0"
"59.0","2000.0"
"60.0","2019.0"
"61.0","2035.0"
"62.0","2009.0"
"63.0","2059.0"
"64.0","2000.0"
"65.0","2041.0"
"66.0","2019.0"
"67.0","2021.0"
"68.0","2000.0"
"69.0","2087.0"
"70.0","2004.0"
"71.0","2000.0"
"72.0","2000.0"
"73.0","2000.0"
"74.0","2001.0"
"75.0","2071.0"
"76.0","2000.0"
"77.0","2067.0"
"78.0","2027.0"
"79.0","2087.0"
"80.0","2016.0"
"81.0","2067.0"
"82.0","2000.0"
"83.0","2063.0"
"84.0","2026.0"
"85.0","1992.0"
"86.0","2063.0"
"87.0","2000.0"
"88.0","2091.0"
"89.0","1992.0"
"90.0","2016.0"
"91.0","2059.0"
"92.0","2000.0"
"93.0","2000.0"
"94.0","2087.0"
"95.0","2019.0"
"96.0","2004.0"
"97.0","2004.0"
"98.0","2016.0"
"99.0","2000.0"
"100.0","2087.0"
"101.0","2035.0"
"102.0","2039.0"
"103.0","2087.0"
"104.0","2087.0"
"105.0","2035.0"
"106.0","2091.0"
"107.0","2000.0"
"108.0","2004.0"
"109.0","2017.0"
"110.0","2055.0"
"111.0","2071.0"
"112.0","2037.0"
"113.0","2001.0"
"114.0","2003.0"
"115.0","2071.0"
"116.0","1994.0"
"117.0","2008.0"
"118.0","2059.0"
"119.0","2087.0"
"120.0","2037.0"
"121.0","1994.0"
"122.0","2079.0"
"123.0","2008.0"
"124.0","2051.0"
"125.0","2002.0"
"126.0","2087.0"
"127.0","2033.0"
"128.0","2047.0"
"129.0","2051.0"
"130.0","2079.0"
"131.0","1992.0"
"132.0","2079.0"
"133.0","2004.0"
"134.0","2003.0"
"135.0","2087.0"
"136.0","2029.0"
"137.0","2016.0"
"138.0","2009.0"
"139.0","2000.0"
"140.0","2047.0"
"141.0","2091.0"
"142.0","2091.0"
"143.0","2059.0"
"144.0","2087.0"
"145.0","2007.0"
"146.0","2031.0"
"147.0","2029.0"
"148.0","2021.0"
"149.0","2091.0"
"150.0","2071.0"
"151.0","2016.0"
"152.0","1993.0"
"153.0","2039.0"
"154.0","2000.0"
"155.0","2067.0"
"156.0","2004.0"
"157.0","2047.0"
"158.0","2059.0"
"159.0","2016.0"
"160.0","2087.0"
"161.0","2019.0"
"162.0","2005.0"
"163.0","2000.0"
"164.0","2047.0"
"165.0","2071.0"
"166.0","2075.0"
"167.0","2087.0"
"168.0","2024.0"
"169.0","2041.0"
"170.0","2043.0"
"171.0","1994.0"
"172.0","2016.0"
"173.0","2000.0"
"174.0","2091.0"
"175.0","2087.0"
"176.0","2055.0"
"177.0","2075.0"
"178.0","2000.0"
"179.0","2000.0"
"180.0","2095.0"
"181.0","2005.0"
"182.0","2075.0"
"183.0","2055.0"
"184.0","2095.0"
"185.0","2016.0"
"186.0","2032.0"
"187.0","1992.0"
"188.0","2019.0"
"189.0","2087.0"
"190.0","2002.0"
"191.0","2002.0"
"192.0","2071.0"
"193.0","1994.0"
"194.0","2016.0"
"195.0","2071.0"
"196.0","2079.0"
"197.0","2083.0"
"198.0","2091.0"
"199.0","2091.0"
"200.0","2000.0"
"201.0","2002.0"
"202.0","2020.0"
"203.0","2035.0"
"204.0","2079.0"
"205.0","2035.0"
"206.0","2039.0"
"207.0","2079.0"
"208.0","2008.0"
"209.0","2079.0"
"210.0","2071.0"
"211.0","1994.0"
"212.0","2071.0"
