Sample: 58, LoadCell: 2688, Duty: 3, Dir: 1
Sample: 59, LoadCell: 2716, Duty: 3, Dir: 1
Sample: 60, LoadCell: 2692, Duty: 3, Dir: 1
Sample: 61, LoadCell: 2690, Duty: 3, Dir: 1
Sample: 62, LoadCell: 2723, Duty: 3, Dir: 1
Sample: 63, LoadCell: 2701, Duty: 3, Dir: 1
Sample: 64, LoadCell: 2688, Duty: 3, Dir: 1
Sample: 65, LoadCell: 2709, Duty: 3, Dir: 1
Sample: 66, LoadCell: 2719, Duty: 3, Dir: 1
Sample: 67, LoadCell: 2695, Duty: 3, Dir: 1
Sample: 68, LoadCell: 2733, Duty: 3, Dir: 1
Sample: 69, LoadCell: 2688, Duty: 3, Dir: 1
Sample: 70, LoadCell: 2700, Duty: 3, Dir: 1
Sample: 71, LoadCell: 2712, Duty: 3, Dir: 1
Sample: 72, LoadCell: 2713, Duty: 3, Dir: 1
Sample: 73, LoadCell: 2707, Duty: 3, Dir: 1
Sample: 74, LoadCell: 2678, Duty: 3, Dir: 1
Sample: 75, LoadCell: 2720, Duty: 3, Dir: 1
Sample: 76, LoadCell: 2729, Duty: 3, Dir: 1
Sample: 77, LoadCell: 2690, Duty: 3, Dir: 1
Sample: 78, LoadCell: 2696, Duty: 3, Dir: 1
Sample: 79, LoadCell: 2719, Duty: 3, Dir: 1
Sample: 80, LoadCell: 2683, Duty: 3, Dir: 1
Sample: 81, LoadCell: 2680, Duty: 3, Dir: 1
Sample: 82, LoadCell: 2720, Duty: 3, Dir: 1
Sample: 83, LoadCell: 2686, Duty: 3, Dir: 1
Sample: 84, LoadCell: 2686, Duty: 3, Dir: 1
Sample: 85, LoadCell: 2709, Duty: 3, Dir: 1
Sample: 86, LoadCell: 2684, Duty: 3, Dir: 1
Sample: 87, LoadCell: 2684, Duty: 3, Dir: 1
Sample: 88, LoadCell: 2694, Duty: 3, Dir: 1
Sample: 89, LoadCell: 2708, Duty: 3, Dir: 1
Sample: 90, LoadCell: 2696, Duty: 3, Dir: 1
Sample: 91, LoadCell: 2718, Duty: 3, Dir: 1
Sample: 92, LoadCell: 2682, Duty: 3, Dir: 1
Sample: 93, LoadCell: 2703, Duty: 3, Dir: 1
Sample: 94, LoadCell: 2719, Duty: 3, Dir: 0
Sample: 95, LoadCell: 2705, Duty: 3, Dir: 0
Sample: 96, LoadCell: 2718, Duty: 3, Dir: 0
Sample: 97, LoadCell: 2706, Duty: 3, Dir: 0
Sample: 98, LoadCell: 2696, Duty: 3, Dir: 0
Sample: 99, LoadCell: 2720, Duty: 3, Dir: 0
Sample: 100, LoadCell: 2699, Duty: 3, Dir: 0
Sample: 101, LoadCell: 2725, Duty: 3, Dir: 0
Sample: 102, LoadCell: 2682, Duty: 3, Dir: 0
Sample: 103, LoadCell: 2707, Duty: 3, Dir: 0
Sample: 104, LoadCell: 2707, Duty: 3, Dir: 0
Sample: 105, LoadCell: 2693, Duty: 3, Dir: 0
Sample: 106, LoadCell: 2678, Duty: 3, Dir: 0
Sample: 107, LoadCell: 2687, Duty: 3, Dir: 0
Sample: 108, LoadCell: 2687, Duty: 3, Dir: 0
Sample: 109, LoadCell: 2677, Duty: 3, Dir: 0
Sample: 110, LoadCell: 2712, Duty: 3, Dir: 0
Sample: 111, LoadCell: 2722, Duty: 3, Dir: 0
Sample: 112, LoadCell: 2710, Duty: 3, Dir: 0
Sample: 113, LoadCell: 2688, Duty: 3, Dir: 0
Sample: 114, LoadCell: 2725, Duty: 3, Dir: 0
Sample: 115, LoadCell: 2680, Duty: 3, Dir: 0
Sample: 116, LoadCell: 2689, Duty: 3, Dir: 0
Sample: 117, LoadCell: 2684, Duty: 3, Dir: 0
Sample: 118, LoadCell: 2728, Duty: 3, Dir: 0
Sample: 119, LoadCell: 2681, Duty: 3, Dir: 0
Sample: 120, LoadCell: 2714, Duty: 3, Dir: 0
Sample: 121, LoadCell: 2678, Duty: 3, Dir: 0
Sample: 122, LoadCell: 2724, Duty: 3, Dir: 0
Sample: 123, LoadCell: 2694, Duty: 3, Dir: 0
Sample: 124, LoadCell: 2695, Duty: 3, Dir: 0
Sample: 125, LoadCell: 2704, Duty: 3, Dir: 0
Sample: 126, LoadCell: 2715, Duty: 3, Dir: 0
Sample: 127, LoadCell: 2725, Duty: 3, Dir: 0
Sample: 128, LoadCell: 2683, Duty: 3, Dir: 0
Sample: 129, LoadCell: 2725, Duty: 3, Dir: 0
Sample: 130, LoadCell: 2734, Duty: 3, Dir: 0
Sample: 131, LoadCell: 2716, Duty: 3, Dir: 0
Sample: 132, LoadCell: 2724, Duty: 3, Dir: 0
Sample: 133, LoadCell: 2717, Duty: 3, Dir: 0
