1, 59.512, 28
2, 59.371, 27
3, 59.412, 18
4, 59.432, 19
5, 59.532, 36
6, 59.573, 44
7, 59.714, 49
8, 59.492, 36
9, 59.472, 30
10, 59.855, 42
11, 59.694, 43
12, 59.291, 19
13, 59.532, 32
14, 59.371, 19
15, 59.633, 45
16, 59.774, 40
17, 59.653, 44
18, 59.794, 42
19, 59.412, 24
20, 59.331, 22
21, 59.331, 39
22, 59.512, 34
23, 59.633, 40
24, 59.593, 49
25, 59.794, 53
26, 59.291, 23
27, 59.331, 34
28, 59.754, 40
29, 59.291, 28
30, 59.170, 25
31, 59.492, 29
32, 58.968, 33
33, 59.311, 36
34, 59.230, 30
35, 59.855, 46
36, 59.371, 40
37, 59.593, 43
38, 59.673, 34
39, 59.371, 31
40, 59.633, 32
41, 59.271, 20
42, 59.492, 44
43, 59.815, 41
44, 59.351, 24
45, 59.653, 28
46, 59.553, 41
47, 59.331, 29
48, 59.472, 26
49, 59.371, 35
50, 59.190, 29
51, 59.734, 47
52, 59.391, 27
53, 59.391, 29
54, 59.734, 43
55, 59.573, 36
56, 59.512, 31
57, 59.694, 50
58, 59.351, 27
59, 59.331, 22
60, 59.371, 29
61, 59.714, 49
62, 59.230, 26
63, 59.815, 41
64, 59.915, 46
65, 59.250, 29
66, 59.774, 40
67, 59.331, 25
68, 59.653, 43
69, 59.794, 50
70, 59.371, 41
71, 59.774, 47
72, 59.271, 26
73, 59.754, 50
74, 59.593, 33
75, 59.391, 17
76, 59.210, 36
77, 59.271, 37
78, 59.694, 43
79, 59.452, 33
80, 59.371, 34
81, 59.271, 30
82, 59.512, 41
83, 59.754, 38
84, 59.331, 24
85, 59.271, 28
86, 59.573, 44
87, 59.371, 23
88, 59.311, 28
89, 59.210, 24
90, 59.351, 51
91, 59.673, 44
92, 59.472, 36
93, 59.653, 49
94, 59.412, 18
95, 59.754, 50
96, 59.190, 30
97, 59.815, 53
98, 59.573, 39
99, 59.774, 43
100, 59.835, 47
101, 59.734, 44
102, 59.271, 22
103, 59.774, 30
104, 59.391, 24
105, 59.351, 31
106, 59.673, 33
107, 59.573, 40
108, 59.371, 24
109, 59.633, 45
110, 59.432, 19
111, 59.633, 42
112, 59.432, 28
113, 59.815, 41
114, 59.371, 38
115, 59.633, 42
116, 59.794, 49
117, 59.613, 41
118, 59.311, 28
119, 59.331, 35
120, 59.452, 25
121, 59.835, 40
122, 59.371, 37
123, 59.391, 39
124, 59.613, 40
125, 59.754, 67
126, 59.271, 1044
127, 59.250, 1017
128, 59.774, 1029
129, 59.331, 1052
130, 59.553, 1025
131, 59.291, 1051
132, 59.230, 1048
133, 59.391, 1029
134, 59.653, 2021
135, 59.391, 2023
136, 59.553, 2020
137, 59.532, 2038
138, 59.492, 3037
139, 59.452, 3035
140, 59.271, 3043
141, 59.412, 3047
142, 59.311, 3117
143, 59.915, 4012
144, 59.875, 4004
145, 59.633, 3051
146, 59.875, 3015
147, 58.465, 3012
148, 59.412, 3059
149, 59.734, 3021
150, 59.472, 2063
151, 59.573, 2066
152, 59.774, 2057
153, 59.391, 2031
154, 59.250, 2052
155, 59.754, 1055
156, 59.835, 1034
157, 59.371, 1031
158, 59.492, 1046
159, 59.351, 1012
160, 59.371, 34
161, 59.412, 35
162, 59.835, 31
