42.992, 12.392, 17.47 
43.12, 12.392, 17.47 
42.992, 12.364, 17. 7 
42.670, 12.364, 17. 7 
43.12, 12.378, 17.27 
42.992, 11.633, 16.926 
43.12, 11.646, 16.946 
43.32, 12.364, 17. 7 
42.972, 12.378, 17.27 
43.32, 11.646, 16.946 
42.972, 12.378, 17.27 
43.53, 12.570, 17.309 
42.972, 12.447, 17.128 
42.972, 12.392, 17.47 
42.992, 12.392, 17.47 
43.12, 12.364, 17. 7 
43.12, 12.378, 17.27 
42.932, 12.364, 17. 7 
42.952, 11.671, 16.987 
43.12, 12.364, 17. 7 
42.912, 12.378, 17.27 
42.992, 12.392, 17.47 
42.952, 12.597, 17.349 
42.952, 12.364, 17. 7 
42.972, 11.646, 16.946 
43.12, 11.646, 16.946 
43.32, 11.671, 16.987 
42.992, 12.378, 17.27 
42.992, 12.378, 17.27 
43.32, 12.378, 17.27 
42.992, 12.392, 17.47 
43.12, 11.671, 16.987 
42.992, 11.671, 16.987 
42.992, 11.658, 16.967 
42.952, 12.378, 17.27 
42.972, 11.646, 16.946 
42.972, 11.671, 16.987 
42.932, 11.646, 16.946 
42.972, 11.671, 16.987 
43.32, 11.646, 16.946 
43.53, 11.671, 16.987 
43.32, 12.364, 17. 7 
42.912, 11.671, 16.987 
43.32, 12.392, 17.47 
43.12, 11.671, 16.987 
42.992, 12.364, 17. 7 
42.972, 12.364, 17. 7 
43.12, 11.671, 16.987 
42.992, 11.671, 16.987 
42.952, 11.671, 16.987 
42.972, 12.378, 17.27 
42.972, 12.378, 17.27 
43.12, 12.378, 17.27 
42.972, 12.364, 17. 7 
42.952, 12.378, 17.27 
42.952, 12.392, 17.47 
42.972, 11.658, 16.967 
42.972, 12.406, 17.67 
42.952, 11.671, 16.987 
42.972, 11.671, 16.987 
43.53, 12.378, 17.27 
43.12, 12.378, 17.27 
42.650, 12.392, 17.47 
42.972, 12.364, 17. 7 
42.972, 12.364, 17. 7 
42.972, 12.378, 17.27 
42.972, 12.392, 17.47 
42.972, 12.364, 17. 7 
42.972, 11.620, 16.906 
42.972, 12.406, 17.67 
42.992, 12.378, 17.27 
42.972, 12.378, 17.27 
43.12, 11.671, 16.987 
42.690, 11.671, 16.987 
42.932, 12.378, 17.27 
42.972, 11.671, 16.987 
42.952, 11.671, 16.987 
42.992, 11.646, 16.946 
42.992, 12.364, 17. 7 
42.972, 11.671, 16.987 
43.53, 12.392, 17.47 
43.32, 12.597, 17.349 
42.992, 12.364, 17. 7 
42.992, 12.364, 17. 7 
42.952, 11.658, 16.967 
42.992, 12.392, 17.47 
43.12, 12.406, 17.67 
43.53, 12.378, 17.27 
42.992, 12.364, 17. 7 
43.53, 12.611, 17.369 
42.972, 12.378, 17.27 
42.972, 12.378, 17.27 
42.912, 12.570, 17.309 
42.992, 11.671, 16.987 
42.992, 12.364, 17. 7 
42.952, 12.364, 17. 7 
43.12, 12.378, 17.27 
43.12, 12.364, 17. 7 
42.932, 12.364, 17. 7 
43.12, 12.378, 17.27 
42.992, 12.378, 17.27 
42.972, 12.392, 17.47 
42.952, 12.364, 17. 7 
43.32, 12.364, 17. 7 
42.891, 11.620, 16.906 
42.952, 12.364, 17. 7 
43.12, 12.378, 17.27 
42.932, 12.364, 17. 7 
42.972, 11.658, 16.967 
42.992, 12.364, 17. 7 
43.12, 12.406, 17.67 
42.992, 12.419, 17.87 
42.952, 11.658, 16.967 
42.972, 12.364, 17. 7 
43.32, 12.364, 17. 7 
42.992, 11.671, 16.987 
42.992, 12.406, 17.67 
43.12, 11.671, 16.987 
43.12, 11.671, 16.987 
42.972, 12.364, 17. 7 
42.992, 12.406, 17.67 
43.12, 11.658, 16.967 
43.12, 12.378, 17.27 
42.912, 12.364, 17. 7 
42.972, 12.364, 17. 7 
42.992, 12.364, 17. 7 
42.992, 11.671, 16.987 
42.992, 12.406, 17.67 
42.952, 11.633, 16.926 
42.992, 11.658, 16.967 
42.992, 11.671, 16.987 
42.972, 12.392, 17.47 
42.650, 12.392, 17.47 
42.932, 11.671, 16.987 
42.992, 11.671, 16.987 
42.952, 11.671, 16.987 
43.12, 12.378, 17.27 
43.12, 12.406, 17.67 
42.952, 12.364, 17. 7 
42.972, 12.364, 17. 7 
42.992, 12.378, 17.27 
42.972, 12.378, 17.27 
43.32, 12.364, 17. 7 
42.609, 12.364, 17. 7 
43.12, 11.671, 16.987 
43.32, 12.364, 17. 7 
42.952, 12.378, 17.27 
42.992, 12.364, 17. 7 
42.972, 12.378, 17.27 
42.992, 12.392, 17.47 
42.972, 11.633, 16.926 
42.932, 12.611, 17.369 
