
62.313, -14.28824 
62.393, -14.28509 
62.333, -14.28872 
62.353, -14.28993 
62.695, -14.28896 
62.655, -15.30186 
62.736, -15.30452 
62.998, -15.30138 
62.615, -16.32949 
63. 18, -16.32949 
63.159, -17.34185 
63.239, -17.34080 
63.179, -17.34342 
63.219, -17.34473 
63.501, -17.34211 
63.260, -17.34552 
63.501, -17.34473 
63.542, -17.34316 
63.461, -17.34264 
63.461, -17.34735 
63.139, -17.34552 
63.481, -17.34447 
63.260, -17.34735 
63.380, -17.34054 
63. 78, -17.34264 
63.239, -17.34185 
63.219, -17.34002 
62.978, -17.34290 
63.159, -15.30452 
62.998, -15.30452 
63.119, -15.30428 
62.836, -15.30428 
62.675, -15.30259 
62.635, -15.30404 
62.675, -14.28945 
62.635, -14.28969 
62.252, -14.28969 
62.393, -14.28509 
62.393, -14.28824 
62.454, -13.26101 
61.990, -14.28751 
62.232, -14.28654 
62.172, -14.28727 
62.272, -14.28775 
62. 71, -14.28437 
62. 51, -14.28727 
62.252, -14.28679 
62.192, -14.28630 
61.950, -14.28485 
62.333, -14.28872 
62.413, -14.28679 
62.494, -14.28824 
62.474, -14.28993 
62.413, -15.30114 
62.575, -15.30259 
62.796, -15.30114 
62.655, -15.30356 
62.857, -15.30138 
62.736, -15.30476 
62.998, -17.34002 
63. 98, -15.30452 
62.978, -15.30573 
63. 78, -15.30597 
63.401, -17.34054 
63.360, -17.34185 
63.421, -17.34107 
63.260, -17.34107 
63.340, -17.34211 
63.179, -17.34342 
63.300, -17.34395 
63.401, -17.34264 
63.300, -17.34133 
63.159, -17.34316 
63.300, -17.34369 
63.179, -17.34054 
63. 18, -17.34369 
63.159, -15.30501 
62.897, -15.30356 
62.695, -15.30501 
62.998, -15.30525 
62.595, -15.30210 
62.695, -15.30259 
62.595, -15.30259 
62.655, -15.30356 
62.333, -15.30259 
62.413, -14.28945 
62.393, -14.28848 
62.474, -15.30017 
62.514, -13.26101 
62.172, -14.28509 
62.434, -14.28509 
62.212, -14.28703 
62.393, -14.28461 
62.192, -14.28799 
62.212, -14.28751 
62.413, -14.28703 
62.272, -15.30065 
62.252, -14.28751 
62.373, -14.28993 
62.534, -15.30065 
62.434, -15.30162 
62.413, -14.28751 
62.595, -15.30041 
62.716, -15.30307 
62.816, -15.30210 
62.413, -15.30210 
62.756, -15.30114 
62.836, -15.30307 
63.139, -15.30380 
62.756, -15.30404 
62.917, -16.32949 
63.179, -16.32949 
62.857, -17.34002 
62.978, -17.34028 
63.159, -15.30380 
63.239, -17.34080 
63.159, -17.34185 
62.957, -15.30501 
63. 78, -15.30549 
63. 38, -17.34133 
63. 18, -15.30259 
62.635, -15.30476 
62.917, -15.30356 
62.716, -15.30283 
62.857, -15.30138 
62.675, -14.28920 
62.474, -14.28727 
62.434, -14.28606 
62.454, -14.28703 
62.272, -14.28606 
62.111, -14.28461 
62.192, -14.28437 
61.990, -14.28509 
61.749, -13.26012 
61.970, -14.28437 
61.930, -12.24923 
61.930, -12.24901 
61.668, -12.24923 
61.749, -12.24990 
61.809, -12.24746 
61.809, -14.28485 
61.970, -12.24968 
61.849, -13.26167 
61.950, -13.26145 
61.869, -13.26012 
61.990, -13.26101 
62. 10, -14.28558 
62. 71, -14.28606 
62.212, -14.28485 
62.131, -14.28703 
62.131, -13.26034 
62.293, -14.28727 
62.353, -14.28920 
62.272, -14.28872 
62.434, -15.30041 
62.635, -15.30186 
62.474, -15.30162 
62.554, -15.30259 
62.534, -15.30090 
62.756, -15.30090 
62.615, -15.30307 
62.393, -15.30041 
62.756, -15.30186 
62.534, -15.30356 
62.716, -15.30090 
62.595, -15.30404 
62.655, -15.30210 
62.756, -15.30090 
62.534, -14.28896 
62.575, -15.30114 
62.655, -15.30090 
62.675, -14.28896 
